face++ male,,,,,,
COUNT,URL,FACEGENDER,CONFIDENCE,REALGENDER,SAME,CHECK
1,http://pbs.twimg.com/profile_images/101234475/IMG_4948.JPG,Male,99.9955,Male,TRUE,1
2,http://pbs.twimg.com/profile_images/1044286909/2073.jpg,Male,99.9556,Male,TRUE,1
3,http://pbs.twimg.com/profile_images/1110856156/Australian_IT_Press_Photo.gif,Male,99.9989,Male,TRUE,1
4,http://pbs.twimg.com/profile_images/1115073355/DAVIN-PICTURE.jpg,Male,99.3787,Male,TRUE,1
5,http://pbs.twimg.com/profile_images/1116799022/IMG_5808.jpg,Male,99.9961,Male,TRUE,1
6,http://pbs.twimg.com/profile_images/1119760396/image.jpg,N,o,Male,FALSE,0
7,http://pbs.twimg.com/profile_images/1120210348/Twitter_Suren_Cupcake.jpg,N,o,Male,FALSE,0
8,http://pbs.twimg.com/profile_images/1120841468/richo.jpg,N,o,Male,FALSE,0
9,http://pbs.twimg.com/profile_images/1121509803/image.jpg,Male,99.9839,Male,TRUE,1
10,http://pbs.twimg.com/profile_images/1145762978/Set2610.jpg,N,o,Male,FALSE,0
11,http://pbs.twimg.com/profile_images/1156404985/image.jpg,Male,99.2422,Male,TRUE,1
12,http://pbs.twimg.com/profile_images/1175588178/70612_713520225_6476518_n.jpg,N,o,Male,FALSE,0
13,http://pbs.twimg.com/profile_images/1182636271/Adam_Littlechild_-_Profile_Photo_01.jpg,Male,99.9995,Male,TRUE,1
14,http://pbs.twimg.com/profile_images/1184543288/CG.JPG,Male,99.6883,Male,TRUE,1
15,http://pbs.twimg.com/profile_images/1195465186/Grant_Treeby_01web.jpg,Male,99.9826,Male,TRUE,1
16,http://pbs.twimg.com/profile_images/1195556643/STAPHeroShotLR.jpg,Male,99.9997,Male,TRUE,1
17,http://pbs.twimg.com/profile_images/1232565111/image.jpg,Male,99.9226,Male,TRUE,1
18,http://pbs.twimg.com/profile_images/1257498861/189831_10150432326140537_622525536_17339896_7513935_n.jpg,Male,99.6246,Male,TRUE,1
19,http://pbs.twimg.com/profile_images/1267422505/image.jpg,Male,99.9997,Male,TRUE,1
20,http://pbs.twimg.com/profile_images/1275260679/bt3.jpg,Male,99.997,Male,TRUE,1
21,http://pbs.twimg.com/profile_images/1282343847/profile.PNG,Male,99.9901,Male,TRUE,1
22,http://pbs.twimg.com/profile_images/1310669084/Image052.jpg,Male,99.9999,Male,TRUE,1
23,http://pbs.twimg.com/profile_images/1326129821/168626_10150137276122806_709612805_8011495_3034249_n.jpg,Male,99.9941,Male,TRUE,1
24,http://pbs.twimg.com/profile_images/1334119481/IMGP1547_1.jpg,Male,97.657,Male,TRUE,1
25,http://pbs.twimg.com/profile_images/1335250939/Head_shot_3.jpg,Male,99.2612,Male,TRUE,1
26,http://pbs.twimg.com/profile_images/1341020805/07-Merlino_J-h_s060810.jpg,Male,99.703,Male,TRUE,1
27,http://pbs.twimg.com/profile_images/1345326036/Andrew_s_40th_015.jpg,Male,99.8441,Male,TRUE,1
28,http://pbs.twimg.com/profile_images/1355605210/headshot2.JPG,Male,99.3263,Male,TRUE,1
29,http://pbs.twimg.com/profile_images/1355659658/AF.JPG,Male,98.577,Male,TRUE,1
