postcode,male,female,male_over_1,female_over_1,male_over_2,female_over_2,male_over_3,female_over_3
3000,10431,10196,4186,3076,2534,1808,1880,1352
3002,2244,2470,1706,841,886,404,564,245
3003,2118,1626,380,196,148,68,89,44
3004,3878,3859,933,670,454,307,298,192
3006,5862,5440,1776,1276,957,687,651,470
3008,2680,2416,1528,832,751,400,506,256
3011,9473,8580,377,244,198,105,128,65
3012,11952,11175,152,71,70,28,45,20
3013,6690,7057,181,125,86,50,60,37
3015,7993,8164,169,91,75,41,46,33
3016,7269,7478,198,131,78,64,56,35
3018,5831,5948,104,59,45,32,28,17
3019,4056,4124,51,18,16,6,9,6
3020,20413,20139,157,69,69,31,52,21
3021,25738,26045,87,64,42,22,29,13
3022,1431,1392,6,12,3,5,2,3
3023,27887,27816,130,75,77,32,54,19
3024,8827,9169,37,18,18,7,13,6
3025,5668,5711,84,32,26,9,18,6
3028,13835,13946,85,46,34,18,25,11
3029,34398,34028,148,69,87,39,61,28
3031,8274,8971,617,427,289,221,184,137
3032,12495,12848,368,247,183,104,121,64
3033,6476,6783,57,34,28,18,19,16
3036,2893,2950,50,23,19,8,10,7
3037,23262,23616,88,52,54,33,40,27
3038,14078,14080,120,55,58,27,39,21
3039,6520,7011,246,139,113,59,70,36
3040,11463,12405,192,120,105,59,69,40
3041,5603,5727,123,80,45,28,25,19
3042,6948,7424,169,97,61,37,37,20
3043,8536,8814,128,60,50,16,33,9
3044,11915,12505,110,66,47,31,33,24
3045,68,74,1315,697,573,276,335,143
3046,15340,15462,74,47,28,25,17,19
3047,9513,9488,68,43,33,16,24,11
3048,8907,9200,31,20,15,7,11,4
3049,4304,4481,52,27,19,7,11,4
3051,5924,5831,390,250,171,96,96,63
3052,2215,2458,438,323,193,127,112,80
3053,6491,7018,759,577,367,273,220,171
3054,3909,4387,223,146,97,57,56,29
3055,6457,6692,99,60,40,25,28,14
3056,11127,11637,425,285,192,132,136,94
3057,3958,4518,235,163,103,78,66,48
3058,15423,16127,205,117,98,50,68,34
3059,6040,5929,17,24,9,11,6,9
3060,6225,6371,39,25,14,7,9,5
3061,2835,2632,49,13,22,6,15,6
3064,26375,26799,93,50,44,28,33,22
3065,4652,4778,759,584,376,287,229,186
3066,3252,3215,415,297,175,127,111,85
3067,2481,2426,395,260,167,106,94,68
3068,8207,9060,284,177,123,73,81,45
3070,10879,12041,303,210,147,98,95,63
3071,8432,9003,153,87,76,44,50,32
3072,14830,15095,222,155,99,78,62,54
3073,23372,24265,100,65,57,37,40,26
3074,10193,10138,64,34,32,17,19,12
3075,9910,9964,32,20,13,10,10,8
3076,13041,13305,98,59,42,37,31,27
3078,5206,5343,172,94,70,36,45,25
3079,7158,7690,119,50,52,21,28,15
3081,6590,6855,60,32,29,15,21,10
3082,15053,15465,60,46,30,29,22,23
3083,13847,14224,170,90,100,46,69,30
3084,11774,12498,144,83,75,42,53,31
3085,6744,6993,38,21,14,12,8,8
3087,4358,4626,32,19,15,10,10,9
3088,12852,13613,97,37,50,20,34,13
3089,5658,5846,36,13,22,6,15,3
3093,1826,1956,30,9,11,4,5,3
3094,4171,4588,36,18,19,7,11,5
3095,13526,14116,114,59,57,25,41,21
3096,963,983,6,5,2,2,2,1
3101,11415,12461,262,124,125,50,69,30
3102,2910,3107,56,30,21,12,12,11
3103,7137,8186,92,42,37,22,24,14
3104,9938,10379,101,32,44,14,33,8
3105,5325,5543,70,49,29,19,20,11
3106,7974,8510,66,39,34,17,22,12
3107,6344,6808,46,34,17,16,13,12
3108,8830,9530,169,117,83,56,47,40
3109,13017,14030,88,40,38,21,28,17
3111,5716,6078,44,21,16,9,8,5
3113,4240,4236,47,41,26,14,20,7
3114,1888,1830,12,12,7,8,5,7
3116,4499,4626,20,11,10,5,7,4
3121,12788,13333,1223,710,660,373,449,252
3122,10430,10747,477,266,251,141,171,97
3123,6349,6753,159,108,57,41,38,24
3124,9388,10641,225,140,106,65,62,38
3125,6065,7097,114,63,53,36,39,26
3126,3677,4180,79,39,25,17,16,13
3127,8619,9470,112,44,48,19,36,16
3128,8448,8922,156,108,64,55,52,33
3129,7703,8359,63,30,32,12,24,7
3130,14637,15772,122,61,64,34,45,21
3131,10039,10962,110,58,46,23,30,17
3132,7220,7591,69,33,30,15,19,10
3133,10366,10950,70,27,26,11,17,7
3134,15218,15882,212,108,94,52,54,29
3135,9296,9707,63,28,28,16,16,14
3136,19619,21345,111,72,56,31,44,22
3137,6328,6768,42,23,17,8,10,6
3138,10271,10418,52,32,27,17,20,13
3140,7594,8055,72,53,34,18,23,11
3141,9286,9848,761,547,378,274,271,181
3142,6056,6815,176,110,75,48,50,29
3143,4114,4646,169,122,68,63,42,38
3144,4850,5456,222,138,84,60,46,37
3145,10346,10955,434,288,212,135,137,81
3146,11979,12969,194,99,82,43,55,33
3147,6726,6921,83,25,35,9,24,5
