Postcode,Suburb,People,Male,Female,MalePercentage,FemalePercentage,MedianAge,Families,AverageChildren,AllPrivateDwellings,AvgPeopleperHousehold,MedianWeeklyHouseholdIncome,MedianMortgageRepayments,MedianWeeklyRent,AvgVehiclesperDwelling,UnemploymentRate
3000,Melbourne City,20627,10431,10196,50.6,49.4,26,3706,1.3,13154,1.8,994,1950,402,0.4,11
3002,East Melbourne,4714,2244,2470,47.6,52.4,36,1041,1.5,2873,1.8,1989,2383,415,1.2,3.5
3003,West Melbourne,3744,2118,1626,56.6,43.4,30,727,1.4,1760,2.2,1704,2400,441,1,6
3004,Near Melbourne,7737,3878,3859,50.1,49.9,34,1954,1.4,4880,1.9,1921,2167,450,1.1,4.4
3006,Southbank,11302,5862,5440,51.9,48.1,29,2519,1.3,7096,1.9,1838,2300,496,0.9,5.8
3008,Docklands,5096,2680,2416,52.6,47.4,31,1213,1.3,3564,1.9,1915,2800,501,1,5
3011,Footscray,18053,9473,8580,52.5,47.5,33,4115,1.6,8394,2.3,1181,2000,270,1.1,7.5
3012,Footscray West Maidstone,23127,11952,11175,51.7,48.3,34,5718,1.7,10164,2.5,1162,1903,262,1.4,7.6
3013,Yarraville,13747,6690,7057,48.7,51.3,36,3699,1.7,6074,2.4,1583,2200,323,1.4,4.3
3015,Newport Spotswood,16157,7993,8164,49.5,50.5,36,4287,1.8,7089,2.5,1626,2150,321,1.5,4.3
3016,Williamstown,14747,7269,7478,49.3,50.7,41,3907,1.9,6340,2.5,1699,2167,306,1.6,4.4
3018,Altona,11779,5831,5948,49.5,50.5,42,3327,1.7,5537,2.3,1160,1850,280,1.6,5.2
3019,Braybrook,8180,4056,4124,49.6,50.4,32,1931,2,3094,2.8,792,1517,217,1.3,12.5
3020,Sunshine Albion,40552,20413,20139,50.3,49.7,36,10501,1.8,15312,2.8,929,1500,250,1.6,10.2
3021,St Albans East Kealba Kings Park,51783,25738,26045,49.7,50.3,35,13773,1.8,18924,2.9,907,1365,250,1.7,10.8
3022,Ardeer,2823,1431,1392,50.7,49.3,37,694,1.8,1178,2.5,895,1450,250,1.6,10.1
3023,Deer Park,55703,27887,27816,50.1,49.9,31,14853,1.9,18746,3.1,1423,1950,310,1.9,6.8
